"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000112596",2.76837655718869,-0.124527472720536,1.04134388256799,-0.119583429456028,0.904813146895856,NA
"ENSMUSG00000112592",0.747799938430749,1.07811745897823,3.48291442224683,0.309544630810289,0.75690726752097,NA
"ENSMUSG00000111593",0.242711418660789,-1.12539315498744,4.40735632396697,-0.255344263604831,0.798457215292945,NA
"ENSMUSG00000115069",0.168362369709744,0,4.40735632395497,0,1,NA
"ENSMUSG00000115064",3.62866487926139,-0.971885744168619,1.39727039159931,-0.695560250909059,0.48670426648391,NA
"ENSMUSG00000115067",2.44494418847118,2.54828283428713,2.40922536950084,1.05771874501517,0.290183686710999,NA
"ENSMUSG00000115060",0.168362369709744,0,4.40735632395497,0,1,NA
"ENSMUSG00000107970",3.91983432992676,1.39695867360816,0.924212433371712,1.5115125302002,0.130657918593014,NA
"ENSMUSG00000107976",1.01834598903392,2.93084728652889,2.37886993965932,1.23203342800179,0.217936597346699,NA
"ENSMUSG00000100189",1.22952938339618,1.81632586638812,2.75275576983812,0.659820927918691,0.509368751631434,NA
"ENSMUSG00000108897",3.08643505129734,1.31164966719521,1.17020792371666,1.1208688991178,0.262343671054113,NA
"ENSMUSG00000108894",2.00341923004991,-0.617643244438694,1.30613789659999,-0.472877516261094,0.636300566603241,NA
"ENSMUSG00000094930",0.792570145480137,2.28063044553385,3.46141553156066,0.658872193973652,0.509977842879301,NA
"ENSMUSG00000113280",2.2477927075811,-0.800986352461959,1.54546206343145,-0.518282765662649,0.604260995669874,NA
"ENSMUSG00000102336",5.04171083155486,-1.62988707303739,1.04984818975678,-1.55249786487224,0.120543143197211,NA
"ENSMUSG00000102331",0.649849839794114,-1.98178781908607,3.6696899020194,-0.540042312020835,0.589167852871838,NA
"ENSMUSG00000102333",0.0831931561329283,0.798116158906316,4.40735632396697,0.181087277778337,0.856299070370336,NA
"ENSMUSG00000113887",0.0841811848548722,0,4.40735632396697,0,1,NA
"ENSMUSG00000090118",2.69030470558832,-0.0210992097454193,1.76165307066674,-0.011976938079774,0.990444014483984,NA
"ENSMUSG00000103373",3.98021193244814,-0.2203772866383,0.990345779683037,-0.222525597785485,0.82390474860161,NA
"ENSMUSG00000113288",0.182135097808659,1.84492658959985,4.35648179472873,0.423490026248286,0.671937773905089,NA
"ENSMUSG00000064542",0.668904411283559,-0.19409818840603,2.3132786517204,-0.0839060993632037,0.933131090073874,NA
"ENSMUSG00000111769",1.29141086247354,3.05139917985975,3.47247027407625,0.878740187537381,0.379542163435443,NA
"ENSMUSG00002076607",0.0929950100912674,-1.12541183786747,4.40735632396697,-0.255348502626742,0.798453941529182,NA
"ENSMUSG00002076604",0.0915647085468425,-1.12541183786747,4.40735632396697,-0.255348502626742,0.798453941529182,NA
"ENSMUSG00000039055",0.460376888128065,3.20310807937331,4.29009883847187,0.746628038181577,0.455288118888759,NA
"ENSMUSG00000023918",1.56005036547141,1.40360392875862,2.83587676415636,0.494945318675077,0.620638719723323,NA
"ENSMUSG00000067724",1.35231110699866,-1.60783311374614,3.22257826526721,-0.498927560914592,0.617830417037107,NA
"ENSMUSG00000103778",0.288840255658223,1.51291074877062,4.38431912462991,0.345073135819768,0.730039388955442,NA
"ENSMUSG00000102808",1.10637748110425,-0.488661551160108,2.1183344263917,-0.230681966488397,0.817561884365076,NA
"ENSMUSG00000065653",0.354828253790261,-2.03236524517469,4.36694667549172,-0.465397312172547,0.641646958644244,NA
"ENSMUSG00000102805",63.6583554154592,-0.254905243778978,0.917919256248748,-0.277698982828508,NA,NA
"ENSMUSG00000102575",0.221448026459837,0,4.40735632394689,0,1,NA
"ENSMUSG00000046487",4.58483852305284,0.711636005554692,0.98894717558815,0.719589501968561,0.471777777578309,NA
"ENSMUSG00000106366",0.659767973766858,1.74240420321796,2.18350815905612,0.797983829825103,0.424879873881859,NA
"ENSMUSG00000106364",0.981121083262848,2.92010606462644,3.52329771972901,0.828799124262209,0.407218083864465,NA
"ENSMUSG00000106362",1.48283160892593,-0.203002096043437,1.28251056502762,-0.15828493080606,0.874232281926245,NA
"ENSMUSG00000112863",1.3820577104183,3.6957165099827,1.92510901019712,1.91974401990061,0.0548902410000684,NA
"ENSMUSG00000100406",0.0910675489043293,0.798116158906316,4.40735632396697,0.181087277778337,0.856299070370336,NA
"ENSMUSG00000117332",0.147632017639892,0,4.40735632395899,0,1,NA
"ENSMUSG00000053783",0.262035389289406,0,4.40735632394338,0,1,NA
"ENSMUSG00000032999",0.719620053156637,-2.61771655185806,4.32732473673855,-0.604927226661293,0.545227351611372,NA
"ENSMUSG00000118177",1.3555555874791,-0.150605940992668,1.53048959633059,-0.0984037665814599,0.921611683898786,NA
"ENSMUSG00000113772",0.140531613152853,1.51289402337788,4.38432068916708,0.345069197861367,0.730042349383905,NA
"ENSMUSG00000096265",0.227701199248728,0,4.40735632394543,0,1,NA
"ENSMUSG00000079871",0.166386312265857,1.728285256278,4.36556136088469,0.395890725935819,0.692185642950055,NA
"ENSMUSG00000113052",1.83708224249976,-1.57905771560013,3.50016663561622,-0.451137868560973,0.651890186180731,NA
"ENSMUSG00000113055",0.295264035279783,0,4.40735632394081,0,1,NA
"ENSMUSG00000113059",0.18455971863811,-2.04236339071834,4.36613143792171,-0.467774142798256,0.639946113496909,NA
"ENSMUSG00000116542",0.281063226305706,2.50138236803575,4.31682699319371,0.579449297361152,0.562286048863797,NA
"ENSMUSG00000039337",1.33525328635693,0.517797478788017,3.812636342904,0.135810875262659,0.891970793507115,NA
"ENSMUSG00000033644",1.30396600271047,-1.24826029312603,3.33293120306874,-0.374523270080317,0.708015047233091,NA
"ENSMUSG00000091313",1.00409016663324,-0.0878303777581523,2.04428802762391,-0.0429637979439904,0.96573039224714,NA
"ENSMUSG00000078972",0.442896052919675,0,4.40735632393471,0,1,NA
"ENSMUSG00000030592",0.249579468398785,2.31432772962619,4.32639009207944,0.534932745399718,0.592696364132155,NA
"ENSMUSG00000062444",0.227701199248728,0,4.40735632394543,0,1,NA
"ENSMUSG00000034031",2.47887823801556,3.55312275953958,1.69910065279696,2.09117850298664,0.0365120656098931,NA
"ENSMUSG00000074417",1.6547292114206,-3.97557318916223,4.25149145111243,-0.935100831055885,0.349736338323945,NA
"ENSMUSG00000074412",1.89956878249395,-0.189645992462313,1.17445321903421,-0.161475986773032,0.871718522933516,NA
"ENSMUSG00000103633",0.151800799499152,0,4.40735632395689,0,1,NA
"ENSMUSG00000074419",0.227701199248728,0,4.40735632394543,0,1,NA
